,Date,Actual_New_Cases,Predicted_New_Cases
0,2020-01-25,0,0
1,2020-01-26,0,0
2,2020-01-27,0,0
3,2020-01-28,1,0
4,2020-01-29,0,0
5,2020-01-30,0,0
6,2020-01-31,0,0
7,2020-02-01,0,0
8,2020-02-02,0,0
9,2020-02-03,0,0
10,2020-02-04,0,0
11,2020-02-05,1,0
12,2020-02-06,2,0
13,2020-02-07,0,0
14,2020-02-08,0,0
15,2020-02-09,0,0
16,2020-02-10,0,0
17,2020-02-11,0,0
18,2020-02-12,0,0
19,2020-02-13,0,0
20,2020-02-14,1,0
21,2020-02-15,0,0
22,2020-02-16,0,0
23,2020-02-17,0,0
24,2020-02-18,0,0
25,2020-02-19,0,0
26,2020-02-20,1,0
27,2020-02-21,0,0
28,2020-02-22,0,0
29,2020-02-23,0,0
30,2020-02-24,1,0
31,2020-02-25,0,0
32,2020-02-26,0,0
33,2020-02-27,0,0
34,2020-02-28,0,0
35,2020-02-29,1,0
36,2020-03-01,0,0
37,2020-03-02,0,0
38,2020-03-03,4,0
39,2020-03-04,1,0
40,2020-03-05,8,0
41,2020-03-06,0,0
42,2020-03-07,6,0
43,2020-03-08,0,0
44,2020-03-09,5,0
45,2020-03-10,7,0
46,2020-03-11,7,0
47,2020-03-12,7,0
48,2020-03-13,11,0
49,2020-03-14,9,0
50,2020-03-15,0,0
51,2020-03-16,30,0
52,2020-03-17,83,0
53,2020-03-18,45,0
54,2020-03-19,40,0
55,2020-03-20,77,0
56,2020-03-21,76,0
57,2020-03-22,48,0
58,2020-03-23,67,0
59,2020-03-24,78,0
60,2020-03-25,42,0
61,2020-03-26,66,0
62,2020-03-27,66,0
63,2020-03-28,92,0
64,2020-03-29,16,0
65,2020-03-30,70,0
66,2020-03-31,43,0
67,2020-04-01,53,0
68,2020-04-02,55,0
69,2020-04-03,53,0
70,2020-04-04,29,0
71,2020-04-05,27,0
72,2020-04-06,36,0
73,2020-04-07,25,0
74,2020-04-08,45,0
75,2020-04-09,34,0
76,2020-04-10,40,0
77,2020-04-11,35,0
78,2020-04-12,25,0
79,2020-04-13,20,0
80,2020-04-14,27,0
81,2020-04-15,44,0
82,2020-04-16,14,0
83,2020-04-17,43,0
84,2020-04-18,29,0
85,2020-04-19,29,0
86,2020-04-20,22,0
87,2020-04-21,25,0
88,2020-04-22,71,0
89,2020-04-23,29,0
90,2020-04-24,29,0
91,2020-04-25,95,0
92,2020-04-26,39,0
93,2020-04-27,11,0
94,2020-04-28,49,0
95,2020-04-29,34,0
96,2020-04-30,25,0
97,2020-05-01,33,0
98,2020-05-02,26,0
99,2020-05-03,34,0
100,2020-05-04,19,0
101,2020-05-05,8,0
102,2020-05-06,23,0
103,2020-05-07,31,0
104,2020-05-08,29,0
105,2020-05-09,15,0
106,2020-05-10,9,0
107,2020-05-11,14,0
108,2020-05-12,7,0
109,2020-05-13,16,0
110,2020-05-14,16,0
111,2020-05-15,15,0
112,2020-05-16,21,0
113,2020-05-17,8,0
114,2020-05-18,8,0
115,2020-05-19,2,0
116,2020-05-20,21,0
117,2020-05-21,12,0
118,2020-05-22,28,0
119,2020-05-23,10,0
120,2020-05-24,6,0
121,2020-05-25,7,0
122,2020-05-26,11,0
123,2020-05-27,9,0
124,2020-05-28,9,0
125,2020-05-29,4,0
126,2020-05-30,11,0
127,2020-05-31,9,0
128,2020-06-01,15,0
129,2020-06-02,4,0
130,2020-06-03,22,0
131,2020-06-04,5,0
132,2020-06-05,1,0
133,2020-06-06,14,0
134,2020-06-07,7,0
135,2020-06-08,9,0
136,2020-06-09,9,0
137,2020-06-10,12,0
138,2020-06-11,14,0
139,2020-06-12,16,0
140,2020-06-13,14,0
141,2020-06-14,16,0
142,2020-06-15,6,0
143,2020-06-16,11,0
144,2020-06-17,19,0
145,2020-06-18,8,0
146,2020-06-19,7,0
147,2020-06-20,10,0
148,2020-06-21,6,1
149,2020-06-22,16,1
150,2020-06-23,13,1
151,2020-06-24,14,1
152,2020-06-25,19,1
153,2020-06-26,10,1
154,2020-06-27,10,1
155,2020-06-28,14,1
156,2020-06-29,2,1
157,2020-06-30,12,1
158,2020-07-01,15,1
159,2020-07-02,9,1
160,2020-07-03,13,1
161,2020-07-04,9,1
162,2020-07-05,15,1
163,2020-07-06,7,1
164,2020-07-07,12,1
165,2020-07-08,18,1
166,2020-07-09,20,1
167,2020-07-10,25,1
168,2020-07-11,21,2
169,2020-07-12,20,2
170,2020-07-13,21,2
171,2020-07-14,13,2
172,2020-07-15,21,2
173,2020-07-16,21,2
174,2020-07-17,28,2
175,2020-07-18,51,2
176,2020-07-19,19,2
177,2020-07-20,30,2
178,2020-07-21,30,3
179,2020-07-22,34,3
180,2020-07-23,30,3
181,2020-07-24,27,3
182,2020-07-25,36,3
183,2020-07-26,21,3
184,2020-07-27,24,4
185,2020-07-28,21,4
186,2020-07-29,41,4
187,2020-07-30,29,4
188,2020-07-31,50,4
189,2020-08-01,43,5
190,2020-08-02,29,5
191,2020-08-03,46,5
192,2020-08-04,28,6
193,2020-08-05,47,6
194,2020-08-06,47,6
195,2020-08-07,53,7
196,2020-08-08,50,7
197,2020-08-09,37,7
198,2020-08-10,44,8
199,2020-08-11,46,8
200,2020-08-12,85,9
201,2020-08-13,78,9
202,2020-08-14,84,9
203,2020-08-15,100,10
204,2020-08-16,88,11
205,2020-08-17,48,11
206,2020-08-18,83,12
207,2020-08-19,68,12
208,2020-08-20,80,13
209,2020-08-21,90,14
210,2020-08-22,109,15
211,2020-08-23,81,15
212,2020-08-24,79,16
213,2020-08-25,58,17
214,2020-08-26,62,18
215,2020-08-27,68,19
216,2020-08-28,124,20
217,2020-08-29,86,21
218,2020-08-30,107,22
219,2020-08-31,101,23
220,2020-09-01,58,25
221,2020-09-02,104,26
222,2020-09-03,89,27
223,2020-09-04,121,29
224,2020-09-05,123,30
225,2020-09-06,116,32
226,2020-09-07,107,34
227,2020-09-08,83,36
228,2020-09-09,100,38
229,2020-09-10,139,39
230,2020-09-11,132,42
231,2020-09-12,137,44
232,2020-09-13,119,46
233,2020-09-14,61,49
234,2020-09-15,97,51
235,2020-09-16,122,54
236,2020-09-17,165,57
237,2020-09-18,179,60
238,2020-09-19,121,63
239,2020-09-20,117,66
240,2020-09-21,128,69
241,2020-09-22,96,73
242,2020-09-23,91,76
243,2020-09-24,148,80
244,2020-09-25,98,84
245,2020-09-26,68,89
246,2020-09-27,125,93
247,2020-09-28,74,98
248,2020-09-29,105,103
249,2020-09-30,125,108
250,2020-10-01,82,113
251,2020-10-02,161,118
252,2020-10-03,130,124
253,2020-10-04,108,130
254,2020-10-05,120,136
255,2020-10-06,102,142
256,2020-10-07,115,149
257,2020-10-08,110,156
258,2020-10-09,119,163
259,2020-10-10,170,170
260,2020-10-11,159,178
261,2020-10-12,119,186
262,2020-10-13,101,194
263,2020-10-14,158,203
264,2020-10-15,142,211
265,2020-10-16,155,220
266,2020-10-17,172,229
267,2020-10-18,153,239
268,2020-10-19,173,249
269,2020-10-20,167,258
270,2020-10-21,203,269
271,2020-10-22,274,279
272,2020-10-23,223,290
273,2020-10-24,317,301
274,2020-10-25,293,312
275,2020-10-26,207,323
276,2020-10-27,217,334
277,2020-10-28,287,346
278,2020-10-29,234,358
279,2020-10-30,272,370
280,2020-10-31,352,382
281,2020-11-01,389,394
282,2020-11-02,379,406
283,2020-11-03,299,418
284,2020-11-04,335,431
285,2020-11-05,425,443
286,2020-11-06,589,456
287,2020-11-07,567,468
288,2020-11-08,536,481
289,2020-11-09,462,493
290,2020-11-10,525,505
291,2020-11-11,536,518
292,2020-11-12,593,530
293,2020-11-13,617,542
294,2020-11-14,654,554
295,2020-11-15,659,566
296,2020-11-16,646,578
297,2020-11-17,716,589
298,2020-11-18,762,601
299,2020-11-19,538,612
300,2020-11-20,516,623
301,2020-11-21,713,634
302,2020-11-22,624,644
303,2020-11-23,594,655
304,2020-11-24,941,665
305,2020-11-25,738,675
306,2020-11-26,887,685
307,2020-11-27,911,694
308,2020-11-28,750,703
309,2020-11-29,731,712
310,2020-11-30,873,721
311,2020-12-01,656,729
312,2020-12-02,834,737
313,2020-12-03,694,745
314,2020-12-04,710,753
315,2020-12-05,647,760
316,2020-12-06,726,767
317,2020-12-07,647,774
318,2020-12-08,566,781
319,2020-12-09,619,787
320,2020-12-10,723,793
321,2020-12-11,737,799
