Date,Actual_New_Recoveries,Predicted_New_Recoveries
2020-10-25,1795,2408.9702439345388
2020-03-30,529,729.0263874760115
2020-05-05,976,921.9468326897436
2020-04-05,321,1006.603857600943
2020-10-28,2400,2268.2710414998146
2020-08-17,548,662.9023885570774
2020-07-07,313,443.25583841889704
2020-07-01,340,448.85997897393815
2020-09-19,465,1183.668144133168
2020-03-23,94,418.52426993474955
2020-05-02,1050,1106.970113317855
2020-09-09,706,861.1934041382973
2020-07-02,415,493.48125813574575
2020-09-13,356,1013.8228085060518
2020-02-10,0,-90.75721382312756
2020-04-28,827,1014.0550920717469
2020-04-06,516,818.5237262474689
2020-08-03,209,598.4115796804124
2020-08-12,502,664.4944447006262
2020-03-03,0,-26.351245987619507
2020-02-04,0,-107.31511236478005
2020-12-04,5426,4710.935655996357
2020-03-24,74,434.8273880285599
2020-02-18,0,-68.6800157675909
2020-11-14,2269,3780.957728735253
2020-05-01,1334,1339.9899350618466
2020-06-28,218,528.6135738927555
2020-02-11,0,-87.99756406618548
2020-12-02,4882,4668.47962465465
2020-06-19,507,537.6353969224474
2020-03-20,2,148.61013688351392
2020-11-28,4188,4639.588271910102
2020-05-29,619,785.0264018033297
2020-02-02,0,-112.83441187866421
2020-11-18,4169,3454.025231538445
2020-06-10,1067,539.8854857837051
2020-05-15,804,895.3694569116913
2020-10-24,1757,2419.1384503173344
2020-09-03,291,839.7106080196019
2020-08-23,359,711.4721213495093
2020-04-18,665,1039.4012434555382
2020-11-06,2969,2965.3564085786625
2020-05-26,701,798.2938794320665
2020-10-09,1015,2135.192498293836
2020-11-30,5827,4691.278486208764
2020-09-22,1525,1323.6881035898941
2020-11-29,7912,4465.0516088934955
2020-05-11,898,887.4089188695748
2020-05-09,1023,921.2887999720347
2020-02-08,0,-96.27651333701172
2020-10-19,2559,2138.1645079780415
2020-02-17,0,-71.43966552453298
2020-11-17,3865,3450.0343573872424
2020-05-04,1109,1031.84421500766
2020-05-12,1042,879.7031612753005
2020-04-16,750,1155.7731589734683
2020-03-28,147,591.7660777762271
2020-06-27,247,498.1513752649465
2020-07-17,204,616.1368145110864
2020-11-19,3973,3640.237316040239
2020-02-21,0,-60.401066496764656
2020-04-22,798,1321.3092092206716
2020-06-09,757,521.7355310985037
2020-08-08,289,650.377784687206
2020-03-27,126,475.1181715501656
2020-02-14,0,-79.10300259822885
2020-09-30,776,1670.8085417302689
2020-07-26,308,644.0517233092171
2020-10-14,1865,2194.5460496661935
2020-08-19,345,635.7942416230517
2020-11-26,3691,4233.921044261474
2020-09-16,609,1100.2845068124357
2020-08-18,330,649.0405089914993
2020-07-11,455,481.3813741204019
2020-03-06,0,-17.456684519662886
2020-02-22,0,-57.641416739822574
2020-05-20,726,850.0689347718857
2020-09-23,883,1209.4814358920653
2020-10-05,1252,1991.181664685906
2020-07-13,256,635.8788253398368
2020-09-27,481,1602.1995971406661
2020-07-06,313,510.6759791348178
2020-04-20,743,1219.754406954449
2020-05-22,1384,931.9241467299364
2020-11-10,2880,3417.1733407517795
2020-02-16,0,-74.19931528147507
2020-03-25,11,393.87857178924537
2020-12-08,5836,4566.224369150141
2020-10-31,1939,2737.0279142241607
2020-03-14,0,36.01673558952291
2020-11-07,2308,3307.3183789544414
2020-11-25,3841,3862.409688423437
2020-02-09,0,-93.51686358006964
2020-07-09,320,522.0329893912959
2020-04-13,563,910.4835138074477
2020-09-07,196,904.3074681977128
2020-11-24,4189,3959.379214601616
2020-07-24,354,700.7092557055007
2020-11-23,5153,4120.372409281353
2020-10-10,3684,2134.874087065126
2020-06-05,829,648.5940642279393
2020-09-06,195,889.2355744981633
2020-04-24,780,1116.2891373159675
2020-07-25,312,666.5321736346203
2020-04-26,896,1121.192824632721
2020-10-13,2558,1926.4575429460601
2020-05-19,812,870.7025485058979
2020-05-17,731,873.1862075547085
2020-04-11,637,837.2468726092222
2020-04-08,603,864.0578185748275
2020-12-01,5063,4214.476234401143
2020-05-07,1076,1075.2130595149176
2020-08-01,358,640.2944193455672
2020-05-25,653,826.9304517287735
2020-11-20,4352,3774.122363785951
2020-02-24,0,-51.506505028808036
2020-06-11,1019,516.173811064041
2020-10-04,838,1776.6514191161152
2020-02-05,0,-103.93985041070759
2020-06-26,301,443.68030094905293
2020-12-11,6591,4874.92207062059
2020-07-10,323,524.792639148238
2020-07-14,329,523.5189942333988
2020-10-17,1802,2146.1886768010254
2020-04-27,947,1108.562169461404
2020-06-08,582,602.6991401512926
2020-08-26,332,705.591990086337
2020-09-20,513,1152.5691230479392
2020-11-27,5577,4380.118335949793
