Date,New_Cases,New_Death,New_Recoveries,Total_Cases,Total_Death,Total_Recoveries
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,1,0,0,1,0,0
2020-01-29,0,0,0,1,0,0
2020-01-30,0,0,0,1,0,0
2020-01-31,0,0,0,1,0,0
2020-02-01,0,0,0,1,0,0
2020-02-02,0,0,0,1,0,0
2020-02-03,0,0,0,1,0,0
2020-02-04,0,0,0,1,0,0
2020-02-05,1,0,0,2,0,0
2020-02-06,2,0,0,4,0,0
2020-02-07,0,0,0,4,0,0
2020-02-08,0,0,0,4,0,0
2020-02-09,0,0,0,4,0,0
2020-02-10,0,0,0,4,0,0
2020-02-11,0,0,0,4,0,0
2020-02-12,0,0,0,4,0,0
2020-02-13,0,0,0,4,0,0
2020-02-14,1,0,0,5,0,0
2020-02-15,0,0,0,5,0,0
2020-02-16,0,0,0,5,0,0
2020-02-17,0,0,0,5,0,0
2020-02-18,0,0,0,5,0,0
2020-02-19,0,0,0,5,0,0
2020-02-20,1,0,0,6,0,0
2020-02-21,0,0,0,6,0,0
2020-02-22,0,0,0,6,0,0
2020-02-23,0,0,0,6,0,0
2020-02-24,1,0,0,7,0,0
2020-02-25,0,0,0,7,0,0
2020-02-26,0,0,0,7,0,0
2020-02-27,0,0,0,7,0,0
2020-02-28,0,0,0,7,0,0
2020-02-29,1,0,0,8,0,0
2020-03-01,0,0,4,8,0,4
2020-03-02,0,0,0,8,0,4
2020-03-03,4,0,0,12,0,4
2020-03-04,1,0,0,13,0,4
2020-03-05,8,0,0,21,0,4
2020-03-06,0,0,0,21,0,4
2020-03-07,6,0,0,27,0,4
2020-03-08,0,1,0,27,1,4
2020-03-09,5,0,0,32,1,4
2020-03-10,7,0,0,39,1,4
2020-03-11,7,0,0,46,1,4
2020-03-12,7,0,0,53,1,4
2020-03-13,11,0,1,64,1,5
2020-03-14,9,0,0,73,1,5
2020-03-15,0,0,0,73,1,5
2020-03-16,30,3,0,103,4,5
2020-03-17,83,3,0,186,7,5
2020-03-18,45,0,0,231,7,5
2020-03-19,40,1,0,271,8,5
2020-03-20,77,1,1,348,9,6
2020-03-21,76,1,0,424,10,6
2020-03-22,48,0,0,472,10,6
2020-03-23,67,3,94,539,13,100
2020-03-24,78,0,73,617,13,173
2020-03-25,42,1,10,659,14,183
2020-03-26,66,0,3,725,14,186
2020-03-27,66,2,89,791,16,275
2020-03-28,92,1,121,883,17,396
2020-03-29,16,0,0,899,17,396
2020-03-30,70,2,73,969,19,469
2020-03-31,43,5,38,1012,24,507
2020-04-01,53,1,99,1065,25,606
2020-04-02,55,6,35,1120,31,641
2020-04-03,53,4,32,1173,35,673
2020-04-04,29,3,31,1202,38,704
2020-04-05,27,0,0,1229,38,704
2020-04-06,36,1,79,1265,39,783
2020-04-07,25,4,22,1290,43,805
2020-04-08,45,5,33,1335,48,838
2020-04-09,34,2,20,1369,50,858
2020-04-10,40,5,21,1409,55,879
2020-04-11,35,3,26,1444,58,905
2020-04-12,25,0,0,1469,58,905
2020-04-13,20,11,21,1489,69,926
2020-04-14,27,3,16,1516,72,942
2020-04-15,44,3,13,1560,75,955
2020-04-16,14,3,28,1574,78,983
2020-04-17,43,0,-17,1617,78,966
2020-04-18,29,3,21,1646,81,987
2020-04-19,29,3,0,1675,84,987
2020-04-20,22,2,52,1697,86,1039
